price,rooms,lat,lng,square_total,square_living,square_kitchen,ceiling,renovation,view,type_house,floor_type,built_year,energy_efficiency,playground,sportsground,foundation_type,electrical_type,electrical_entries_count,heating_type,hot_water_type,gas_type,ventilation_type,firefighting_type,drainage_type,floor_flat,floor_house,price/m2,wikipedia
9500000.0,1,55.731379,37.53256500000001,36.0,19.3,9.6,2.64,Косметический,,Панельный,Железобетонные,1965.0,C,Отсутствует,Отсутствует,Ленточный,Центральное,2.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,7.0,12.0,263888.8888888889,ru:Раменки (район Москвы)
16700000.0,2,55.666051,37.517752,52.9,33.8,8.5,2.64,Косметический,Во двор,Панельный,Железобетонные,2013.0,,Отсутствует,Отсутствует,Свайный,Центральное,8.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,2.0,24.0,315689.98109640833,ru:Обручевский район
7500000.0,2,55.707202,37.822451,40.0,22.0,7.0,2.5,Косметический,На улицу и двор,Монолитный,Железобетонные,1969.0,Не присвоен,Есть,Отсутствует,Ленточный,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Вытяжная вентиляция,Автоматическая,Внутренние водостоки,12.0,12.0,187500.0,ru:Выхино-Жулебино
13900000.0,3,55.84495,37.481523,73.0,50.0,9.0,3.2,Евроремонт,Во двор,Кирпичный,Железобетонные,,,,,,,,,,,,,,5.0,5.0,190410.95890410958,ru:Головинский район
21500000.0,1,55.75157900000001,37.564203000000006,35.4,,,3.25,Евроремонт,,Кирпичный,,,,,,,,,,,,,,,6.0,11.0,607344.6327683616,ru:Дорогомилово (район Москвы)
35300000.0,3,55.695814,37.484289,107.4,49.0,32.0,3.0,Без ремонта,Во двор,Монолитный,,,,,,,,,,,,,,,4.0,52.0,328677.8398510242,ru:Раменки (район Москвы)
12000000.0,3,55.76959,37.734731,56.1,33.6,6.0,,Евроремонт,,Панельный,Железобетонные,1974.0,Не присвоен,Есть,Отсутствует,Ленточный,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Приточно-вытяжная вентиляция,,Внутренние водостоки,4.0,9.0,213903.743315508,ru:Соколиная Гора (район Москвы)
8000000.0,1,55.814275,37.398123,32.5,19.0,6.0,2.64,Косметический,Во двор,Панельный,Железобетонные,1979.0,Не присвоен,Есть,Отсутствует,Ленточный,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Отсутствует,Приточно-вытяжная вентиляция,,Внутренние водостоки,9.0,9.0,246153.84615384616,ru:Строгино (район Москвы)
9300000.0,1,55.868405,37.610943,38.0,19.0,9.0,2.48,Евроремонт,,Панельный,Железобетонные,1977.0,Не присвоен,Есть,Отсутствует,Ленточный,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточно-вытяжная вентиляция,,Внутренние водостоки,9.0,16.0,244736.84210526315,ru:Отрадное (район Москвы)
9650000.0,2,55.85587099999999,37.70000200000001,54.9,32.0,8.6,,Без ремонта,На улицу,Панельный,Железобетонные,2002.0,Не присвоен,Есть,Есть,,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,2.0,14.0,175774.13479052825,ru:Ярославский район (Москва)
